year,sex,age,resident_labour_force_participation_rate
1991,male,15-19,30
1991,male,20-24,82.2
1991,male,25-29,96.9
1991,male,30-34,98.7
1991,male,35-39,99.1
1991,male,40-44,98.4
1991,male,45-49,96.5
1991,male,50-54,92.5
1991,male,55-59,70.7
1991,male,60-64,46.8
1991,male,65-69,29.7
1991,male,70 & Over,13.3
1991,male,70-74,17.4
1991,male,75 & Over,9.4
1991,female,15-19,26.9
1991,female,20-24,79.7
1991,female,25-29,73.4
1991,female,30-34,60
1991,female,35-39,55.3
1991,female,40-44,53.8
1991,female,45-49,46.1
1991,female,50-54,33.8
1991,female,55-59,21
1991,female,60-64,12.4
1991,female,65-69,6.3
1991,female,70 & Over,2.9
1991,female,70-74,4.3
1991,female,75 & Over,1.9
1992,male,15-19,28.6
1992,male,20-24,81
1992,male,25-29,97
1992,male,30-34,98.7
1992,male,35-39,98.5
1992,male,40-44,98.3
1992,male,45-49,96.1
1992,male,50-54,89.2
1992,male,55-59,70.9
1992,male,60-64,49
1992,male,65-69,34.2
1992,male,70 & Over,14.8
1992,male,70-74,20.5
1992,male,75 & Over,9.7
1992,female,15-19,25.3
1992,female,20-24,76.6
1992,female,25-29,75.3
1992,female,30-34,62.7
1992,female,35-39,55.8
1992,female,40-44,54.3
1992,female,45-49,47.6
1992,female,50-54,36.5
1992,female,55-59,22.5
1992,female,60-64,12.5
1992,female,65-69,7.3
1992,female,70 & Over,3
1992,female,70-74,5.4
1992,female,75 & Over,1.1
1993,male,15-19,23.9
1993,male,20-24,80.2
1993,male,25-29,96
1993,male,30-34,98.5
1993,male,35-39,98.4
1993,male,40-44,98.1
1993,male,45-49,96.7
1993,male,50-54,90.2
1993,male,55-59,71.7
1993,male,60-64,50.4
1993,male,65-69,33.1
1993,male,70 & Over,14.8
1993,male,70-74,20.7
1993,male,75 & Over,8.5
1993,female,15-19,23.4
1993,female,20-24,75.8
1993,female,25-29,75.1
1993,female,30-34,62.1
1993,female,35-39,56.4
1993,female,40-44,54.1
1993,female,45-49,49.4
1993,female,50-54,37.1
1993,female,55-59,23.8
1993,female,60-64,10.6
1993,female,65-69,6.4
1993,female,70 & Over,2.6
1993,female,70-74,3.4
1993,female,75 & Over,1.9
1994,male,15-19,22.5
1994,male,20-24,78
1994,male,25-29,96
1994,male,30-34,98.3
1994,male,35-39,98.8
1994,male,40-44,98.7
1994,male,45-49,97.1
1994,male,50-54,91.2
1994,male,55-59,74.5
1994,male,60-64,49
1994,male,65-69,34.1
1994,male,70 & Over,16.6
1994,male,70-74,21.7
1994,male,75 & Over,11.7
1994,female,15-19,20.6
1994,female,20-24,75.4
1994,female,25-29,76.8
1994,female,30-34,62.5
1994,female,35-39,57.2
1994,female,40-44,54.3
1994,female,45-49,50.2
1994,female,50-54,38.3
1994,female,55-59,26.1
1994,female,60-64,12.9
1994,female,65-69,8
1994,female,70 & Over,3
1994,female,70-74,4.8
1994,female,75 & Over,1.5
1996,male,15-19,21.5
1996,male,20-24,74.2
1996,male,25-29,96.5
1996,male,30-34,98.3
1996,male,35-39,98.2
1996,male,40-44,98.2
1996,male,45-49,96.8
1996,male,50-54,91.2
1996,male,55-59,77.4
1996,male,60-64,48.8
1996,male,65-69,34.1
1996,male,70 & Over,13.5
1996,male,70-74,19
